sanger_sample_id,supplier_name
UVE_ATC13036636,E980
UVE_ATC13036635,E970
UVE_ATC13036634,E949
UVE_ATC13036633,E918
UVE_ATC13036632,E901
UVE_ATC13036631,E892
UVE_ATC13036630,E841
UVE_ATC13036629,E694
UVE_ATC13036628,E690
UVE_ATC13036627,E674
UVE_ATC13036626,E666
UVE_ATC13036625,E663
UVE_ATC13036624,E659
UVE_ATC13036623,E655
UVE_ATC13036622,E650
UVE_ATC13036621,E641
UVE_ATC13036620,E639
UVE_ATC13036619,E625
UVE_ATC13036618,E612
UVE_ATC13036617,E594
UVE_ATC13036616,E593
UVE_ATC13036615,E592
UVE_ATC13036614,E591
UVE_ATC13036613,E590
UVE_ATC13036612,E588
UVE_ATC13036611,E587
UVE_ATC13036610,E586
UVE_ATC13036609,E585
UVE_ATC13036608,E582
UVE_ATC13036607,E581
UVE_ATC13036606,E579
UVE_ATC13036605,E578
UVE_ATC13036604,E577
UVE_ATC13036603,E576
UVE_ATC13036602,E573
UVE_ATC13036601,E570
UVE_ATC13036600,E563
UVE_ATC13036599,E561
UVE_ATC13036598,E560
UVE_ATC13036597,E559
UVE_ATC13036596,E558
UVE_ATC13036595,E555
UVE_ATC13036594,E554
UVE_ATC13036593,E553
UVE_ATC13036592,E552
UVE_ATC13036591,E551
UVE_ATC13036590,E550
UVE_ATC13036589,E549
UVE_ATC13036588,E548
UVE_ATC13036587,E546
UVE_ATC13036586,E545
UVE_ATC13036585,E543
UVE_ATC13036584,E542
UVE_ATC13036583,E538
UVE_ATC13036582,E537
UVE_ATC13036581,E535
UVE_ATC13036580,E534
UVE_ATC13036579,E533
UVE_ATC13036578,E531
UVE_ATC13036577,E530
UVE_ATC13036576,E528
UVE_ATC13036575,E526
UVE_ATC13036574,E525
UVE_ATC13036573,E524
UVE_ATC13036572,E523
UVE_ATC13036571,E522
UVE_ATC13036570,E521
UVE_ATC13036569,E520
UVE_ATC13036568,E518
UVE_ATC13036567,E517
UVE_ATC13036566,E515
UVE_ATC13036565,E513
UVE_ATC13036564,E510
UVE_ATC13036563,E509
UVE_ATC13036562,E507
UVE_ATC13036561,E506
UVE_ATC13036560,E504
UVE_ATC13036559,E503
UVE_ATC13036558,E498
UVE_ATC13036557,E493
UVE_ATC13036556,E489
UVE_ATC13036555,E487
UVE_ATC13036554,E485
UVE_ATC13036553,E484
UVE_ATC13036552,E482
UVE_ATC13036551,E461
UVE_ATC13036550,E456
UVE_ATC13036549,E454
UVE_ATC13036648,E1546
UVE_ATC13036647,E1533
UVE_ATC13036646,E1417
UVE_ATC13036645,E1398
UVE_ATC13036644,E1306
UVE_ATC13036643,E1254
UVE_ATC13036642,E1233
UVE_ATC13036641,E1195
UVE_ATC13036640,E1192
UVE_ATC13036639,E1081
UVE_ATC13036638,E1044
UVE_ATC13036637,E1021
UVE_ATC13036548,CTRL
