Genotype	RNA	Sample_Category
HG00096	HG00096	all
HG00097	HG00097	all
HG00099	HG00099	all
HG00100	HG00100	all
HG00101	HG00101	all
HG00102	HG00102	all
HG00103	HG00103	all
HG00105	HG00105	all
HG00106	HG00106	all
HG00108	HG00108	all
HG00109	HG00109	all
HG00110	HG00110	all
HG00111	HG00111	all
HG00112	HG00112	all
HG00114	HG00114	all
HG00115	HG00115	all
HG00116	HG00116	all
HG00117	HG00117	all
HG00118	HG00118	all
HG00119	HG00119	all
HG00120	HG00120	all
HG00121	HG00121	all
HG00122	HG00122	all
HG00123	HG00123	all
HG00125	HG00125	all
HG00126	HG00126	all
HG00127	HG00127	all
HG00128	HG00128	all
HG00129	HG00129	all
HG00130	HG00130	all
HG00131	HG00131	all
HG00132	HG00132	all
HG00133	HG00133	all
HG00136	HG00136	all
HG00137	HG00137	all
HG00138	HG00138	all
HG00139	HG00139	all
HG00141	HG00141	all
HG00142	HG00142	all
HG00143	HG00143	all
HG00145	HG00145	all
HG00146	HG00146	all
HG00148	HG00148	all
HG00149	HG00149	all
HG00150	HG00150	all
HG00151	HG00151	all
HG00154	HG00154	all
HG00155	HG00155	all
HG00157	HG00157	all
HG00158	HG00158	all
HG00159	HG00159	all
HG00160	HG00160	all
HG00171	HG00171	all
HG00173	HG00173	all
HG00174	HG00174	all
HG00176	HG00176	all
HG00177	HG00177	all
HG00178	HG00178	all
HG00179	HG00179	all
HG00180	HG00180	all
HG00181	HG00181	all
HG00182	HG00182	all
HG00183	HG00183	all
HG00185	HG00185	all
HG00186	HG00186	all
HG00187	HG00187	all
HG00188	HG00188	all
HG00189	HG00189	all
HG00231	HG00231	all
HG00232	HG00232	all
HG00233	HG00233	all
HG00234	HG00234	all
HG00235	HG00235	all
HG00236	HG00236	all
HG00238	HG00238	all
HG00239	HG00239	all
HG00240	HG00240	all
HG00242	HG00242	all
HG00243	HG00243	all
HG00244	HG00244	all
HG00245	HG00245	all
HG00246	HG00246	all
HG00250	HG00250	all
HG00251	HG00251	all
HG00252	HG00252	all
HG00253	HG00253	all
HG00255	HG00255	all
HG00256	HG00256	all
HG00257	HG00257	all
HG00258	HG00258	all
HG00259	HG00259	all
HG00260	HG00260	all
HG00261	HG00261	all
HG00262	HG00262	all
HG00263	HG00263	all
HG00264	HG00264	all
HG00265	HG00265	all
HG00266	HG00266	all
HG00267	HG00267	all
HG00268	HG00268	all
HG00269	HG00269	all
HG00271	HG00271	all
HG00272	HG00272	all
HG00273	HG00273	all
HG00274	HG00274	all
HG00275	HG00275	all
HG00276	HG00276	all
HG00277	HG00277	all
HG00278	HG00278	all
HG00280	HG00280	all
HG00281	HG00281	all
