feature_id	start	end	chromosome
ENSG00000284662	685679	686673	1
ENSG00000186827	1211340	1214153	1
ENSG00000186891	1203508	1206592	1
ENSG00000160072	1471765	1497848	1
ENSG00000041988	6624866	6635586	1
ENSG00000260179	1249777	1251334	1
ENSG00000234396	2212523	2220738	1
ENSG00000225972	629062	629433	1
ENSG00000224315	8786211	8786913	1
ENSG00000198744	634376	634922	1
ENSG00000279928	182696	184174	1
ENSG00000228037	2581560	2584533	1
ENSG00000142611	3069168	3438621	1
ENSG00000225630	629640	630683	1
ENSG00000067606	2050411	2185395	1
ENSG00000131584	1292390	1309609	1
ENSG00000227589	3658938	3668772	1
ENSG00000237402	7368942	7370270	1
ENSG00000284616	5301928	5307394	1
ENSG00000169972	1308597	1311677	1
ENSG00000157911	2403964	2413797	1
ENSG00000269896	2350414	2352820	1
ENSG00000237973	631074	632616	1
ENSG00000224051	1324756	1328896	1
ENSG00000228750	6724637	6730012	1
ENSG00000228463	257864	359681	1
ENSG00000238260	3623190	3624743	1
ENSG00000260972	5492978	5494674	1
ENSG00000157933	2228319	2310213	1
ENSG00000162591	3487951	3611508	1
ENSG00000224340	10054445	10054781	1
ENSG00000270035	7698303	7698872	1
ENSG00000169962	1331280	1335314	1
ENSG00000226545	8798475	8799506	1
ENSG00000233653	487101	489906	1
ENSG00000268663	674842	675265	1
ENSG00000226374	3944547	3949024	1
ENSG00000116285	8004404	8026309	1
ENSG00000229280	4175528	4175899	1
ENSG00000142655	10472288	10630758	1
ENSG00000232596	4571481	4594016	1
ENSG00000235054	4412027	4424689	1
ENSG00000232663	8909742	8909904	1
ENSG00000284646	11311734	11319093	1
ENSG00000240409	633535	633741	1
ENSG00000229344	632757	633438	1
ENSG00000231510	5086459	5090899	1
ENSG00000149527	2425980	2505532	1
ENSG00000284739	4963954	4973298	1
ENSG00000007923	6634168	6701924	1
ENSG00000171621	9292894	9369532	1
ENSG00000272235	3306636	3310096	1
ENSG00000236679	347982	348366	1
ENSG00000284694	4479131	4484375	1
ENSG00000162441	9922113	9943407	1
ENSG00000230021	586071	827796	1
ENSG00000271264	9780822	9781240	1
ENSG00000287356	2315040	2323085	1
ENSG00000224387	2492300	2493258	1
ENSG00000187017	6424776	6461367	1
ENSG00000285629	6159430	6197757	1
ENSG00000173673	6244179	6245578	1
ENSG00000227372	3735511	3747373	1
ENSG00000142583	9035106	9088478	1
ENSG00000223663	1378666	1379032	1
ENSG00000107404	1335276	1349418	1
ENSG00000284674	4973381	4981568	1
ENSG00000177000	11785723	11806455	1
ENSG00000272161	2326201	2326693	1
ENSG00000237094	365389	522928	1
ENSG00000069424	5990927	6101193	1
ENSG00000224338	11425257	11425821	1
ENSG00000074800	8861000	8879190	1
ENSG00000234546	9182004	9196284	1
ENSG00000116786	15684320	15734769	1
ENSG00000287727	10612222	10616452	1
ENSG00000176022	1232237	1235041	1
ENSG00000223989	9848318	9850154	1
ENSG00000228423	8805860	8807051	1
ENSG00000286448	266855	268655	1
ENSG00000162496	12567910	12618210	1
ENSG00000237365	7008376	7014279	1
ENSG00000131686	8945867	8975092	1
ENSG00000229305	8189824	8192770	1
ENSG00000284703	4012921	4019508	1
ENSG00000226457	16369150	16369530	1
ENSG00000162494	13474973	13514003	1
ENSG00000173614	9943428	9985501	1
ENSG00000248527	633696	634376	1
ENSG00000237728	7382487	7389754	1
ENSG00000215720	15191828	15192845	1
ENSG00000279804	13222705	13226106	1
ENSG00000116273	6613731	6624030	1
ENSG00000241326	9983141	9984568	1
ENSG00000285701	9900614	9908034	1
ENSG00000233623	10058671	10059648	1
ENSG00000162592	3746460	3771645	1
ENSG00000116254	6101787	6180321	1
ENSG00000049245	7771296	7781432	1
ENSG00000179743	15834474	15848147	1
ENSG00000233645	8218190	8220529	1
ENSG00000234064	12926162	12928253	1
ENSG00000204624	11479155	11537551	1
ENSG00000284708	11623558	11643416	1
ENSG00000171603	9728926	9823984	1
ENSG00000280113	9826289	9828271	1
ENSG00000142606	2590639	2633016	1
ENSG00000235146	587629	594768	1
ENSG00000177674	11736084	11754802	1
ENSG00000162572	1280436	1292029	1
ENSG00000171608	9651731	9729114	1
ENSG00000225931	2566410	2569888	1
ENSG00000236601	358857	366052	1
ENSG00000171729	15152532	15220478	1
ENSG00000228150	9942923	9949974	1
ENSG00000175262	10946471	10982037	1
ENSG00000279457	185217	195411	1
ENSG00000162571	1173880	1197936	1
ENSG00000231181	9576427	9576985	1
ENSG00000238173	11232963	11233112	1
ENSG00000158109	3625015	3630127	1
ENSG00000229393	2493437	2494479	1
ENSG00000269978	7700704	7700970	1
ENSG00000037637	16246840	16352480	1
ENSG00000184163	1242446	1246722	1
ENSG00000287586	4730211	4734992	1
ENSG00000159423	18871430	18902724	1
ENSG00000142599	8352397	8848921	1
ENSG00000227169	4551735	4552145	1
